订单编号,订单状态,下单时间,支付时间,发货时间,商品型号,商品件数,商品ID,SKU ID
"	819687435068351",已发货,11/13/2022 10:47,11/13/2022 10:47,11/14/2022 13:13,狐狸灰34号,1,5730170770,85770539836
"	819687063907927",已发货,11/13/2022 10:45,11/13/2022 10:46,11/15/2022 11:32,狐狸灰34号,1,5730170770,85770539836
"	819695549764989",已发货,11/13/2022 10:45,11/13/2022 10:48,11/14/2022 13:07,桃木褐30号;狐狸灰32号,1;1,5730170770;5730170770,85770385833;85770539834
"	819695375193066",已发货,11/13/2022 10:44,11/13/2022 10:45,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
"	819695389492706",已关闭,11/13/2022 10:43,,,桃木褐32号,1,5730170770,85770385835
"	819687128441932",已关闭,11/13/2022 10:42,11/13/2022 10:42,,桃木褐30号,1,5730170770,85770385833
"	819695312883558",待发货,11/13/2022 10:42,11/13/2022 21:57,,狐狸灰34号,1,5730170770,85770539836
"	819687079998845",已关闭,11/13/2022 10:42,11/13/2022 10:42,,桃木褐30号,1,5730170770,85770385833
"	819695612828201",已关闭,11/13/2022 10:41,11/13/2022 10:41,,狐狸灰32号,1,5730170770,85770539834
"	819695789954762",已关闭,11/13/2022 10:39,11/13/2022 10:42,,狐狸灰34号,1,5730170770,85770539836
"	819687128002151",已发货,11/13/2022 10:39,11/13/2022 10:39,11/14/2022 13:05,桃木褐30号,1,5730170770,85770385833
"	819695532459084",已关闭,11/13/2022 10:37,,,桃木褐32号,1,5730170770,85770385835
"	819687207613821",已关闭,11/13/2022 10:36,11/13/2022 10:36,,狐狸灰32号,1,5730170770,85770539834
"	819687239793476",已发货,11/13/2022 10:36,11/13/2022 10:36,11/14/2022 13:13,狐狸灰34号,1,5730170770,85770539836
"	819695353680288",已发货,11/13/2022 10:35,11/13/2022 11:25,11/14/2022 13:12,狐狸灰32号,1,5730170770,85770539834
"	819687384772316",已关闭,11/13/2022 10:32,11/13/2022 10:33,,桃木褐32号,1,5730170770,85770385835
"	819687143044421",已发货,11/13/2022 10:32,11/13/2022 10:32,11/14/2022 13:13,狐狸灰36号,1,5730170770,85770539838
